,example_id,sentence,sentence_label,left_tree,left_label,right_tree,right_label
0,00001,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",positive,The Rock,neutral,"is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",positive
1,00002,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,positive,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy,positive,is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,neutral
2,00003,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",positive,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece",positive,.,neutral
3,00004,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,neutral,You 'd think by now,neutral,America would have had enough of plucky British eccentrics with hearts of gold .,neutral
4,00005,Yet the act is still charming here .,positive,Yet,neutral,the act is still charming here .,positive
5,00006,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",positive,Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self,neutral,", '' Derrida is an undeniably fascinating and playful fellow .",positive
6,00007,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,positive,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light,positive,is astonishing .,positive
7,00008,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,positive,Part of the charm of Satin Rouge,positive,is that it avoids the obvious with humour and lightness .,positive
8,00009,a screenplay more ingeniously constructed than `` Memento '',positive,a screenplay more,neutral,ingeniously constructed than `` Memento '',positive
9,00010,`` Extreme Ops '' exceeds expectations .,positive,``,neutral,Extreme Ops '' exceeds expectations .,positive
10,00011,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",positive,Good fun,positive,", good action , good acting , good dialogue , good pace , good cinematography .",positive
11,00012,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,neutral,You,neutral,Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,neutral
12,00013,Dramas like this make it human .,positive,Dramas like this,neutral,make it human .,neutral
13,00014,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",neutral,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action",neutral,.,neutral
14,00015,"Still , this flick is fun , and host to some truly excellent sequences .",positive,Still,neutral,", this flick is fun , and host to some truly excellent sequences .",positive
15,00016,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,positive,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens,neutral,make a terrific effort at disguising the obvious with energy and innovation .,neutral
16,00017,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,positive,You,neutral,walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,neutral
17,00018,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,neutral,Post 9\/11 the philosophical message of `` Personal Freedom First '',neutral,might not be as palatable as intended .,negative
18,00019,Absorbing character study by André Turpin .,positive,Absorbing character,neutral,study by André Turpin .,neutral
19,00020,"If you love reading and\/or poetry , then by all means check it out .",positive,If you love reading and\/or poetry,positive,", then by all means check it out .",positive
20,00021,You 'll probably love it .,positive,You,neutral,'ll probably love it .,positive
21,00022,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",positive,``,neutral,"Frailty '' has been written so well , that even a simple `` Goddammit ! ''",positive
22,00023,near the end takes on a whole other meaning .,neutral,near the end,neutral,takes on a whole other meaning .,positive
23,00024,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",positive,Grenier,neutral,"is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",positive
24,00025,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,neutral,The Sundance Film Festival,neutral,has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,neutral
25,00026,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",neutral,`,neutral,"Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",neutral
26,00027,The actors are fantastic .,positive,The actors,neutral,are fantastic .,positive
27,00028,They are what makes it worth the trip to the theatre .,positive,They,neutral,are what makes it worth the trip to the theatre .,positive
28,00029,"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",positive,-LRB- Taymor -RRB-,neutral,"utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",positive
29,00030,This is n't a new idea .,negative,This,neutral,is n't a new idea .,neutral
30,00031,It 's been done before but never so vividly or with so much passion .,positive,It,neutral,'s been done before but never so vividly or with so much passion .,positive
31,00032,-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,positive,-LRB- `` Take Care of My Cat '' -RRB-,neutral,is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,positive
32,00033,"It 's not life-affirming -- its vulgar and mean , but I liked it .",neutral,"It 's not life-affirming -- its vulgar and mean , but I liked it",neutral,.,neutral
33,00034,What `` Empire '' lacks in depth it makes up for with its heart .,positive,What `` Empire '' lacks in depth,neutral,it makes up for with its heart .,positive
34,00035,"Light , silly , photographed with colour and depth , and rather a good time .",positive,"Light , silly ,",neutral,"photographed with colour and depth , and rather a good time .",positive
35,00036,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,positive,But,neutral,tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,positive
36,00037,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,positive,Much of the movie 's charm,positive,lies in the utter cuteness of Stuart and Margolo .,positive
37,00038,Their computer-animated faces are very expressive .,positive,Their computer-animated faces,negative,are very expressive .,positive
38,00039,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",neutral,The path Ice Age follows most closely,neutral,", though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",neutral
39,00040,"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-",positive,"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and",positive,"witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-",positive
40,00041,There 's an energy to Y Tu Mamá También .,positive,There,neutral,'s an energy to Y Tu Mamá También .,positive
41,00042,"Much of it comes from the brave , uninhibited performances by its lead actors .",positive,Much of it,neutral,"comes from the brave , uninhibited performances by its lead actors .",positive
42,00043,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",neutral,``,neutral,"13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",neutral
43,00044,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,positive,`` Auto Focus '',neutral,works as an unusual biopic and document of male swingers in the Playboy era,positive
